timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5838.0,-710.0,-570.0,1.0,-724.0,-379.0,1.0,778.8095238095239,606.8571428571429,1.0,791.0,838.0,1.0,-6.86,6.94
5839.0,-709.75,-526.5,1.0,-732.5,-571.5,1.0,778.7619047619048,614.5714285714286,1.0,783.0,722.5,1.0,-6.86,6.94
5840.0,-704.0,-449.0,1.0,-727.75,-620.5,1.0,778.7142857142857,622.2857142857143,1.0,780.0,864.5,1.0,-6.86,6.94
5841.0,-699.5,-632.25,1.0,-711.5,-563.5,1.0,778.6666666666666,630.0,1.0,789.5,795.75,1.0,-6.86,6.94
5842.0,-689.0,-333.0,1.0,-691.75,-549.25,1.0,778.6190476190476,637.7142857142857,1.0,798.5,782.0,1.0,-6.86,6.94
5843.0,-693.0,-490.0,1.0,-689.0,-514.5,1.0,778.5714285714286,645.4285714285714,1.0,794.25,814.0,1.0,-6.880000000000001,6.94
5844.0,-693.0,-548.25,1.0,-693.5,-340.75,1.0,778.5238095238095,653.1428571428571,1.0,784.5,768.5,1.0,-6.86,6.94
5845.0,-690.5,-391.0,1.0,-702.0,-367.0,1.0,778.4761904761905,660.8571428571429,1.0,787.0,902.5,1.0,-6.86,6.94
5846.0,-696.75,-527.5,1.0,-704.5,-354.5,1.0,778.4285714285714,668.5714285714286,1.0,791.5,865.0,1.0,-6.86,6.94
5847.0,-693.0,-405.0,1.0,-705.0,-450.5,1.0,778.3809523809524,676.2857142857143,1.0,778.5,561.0,1.0,-6.86,6.94
5848.0,-702.5,-627.0,1.0,-707.0,-434.0,1.0,778.3333333333334,684.0,1.0,780.0,649.75,1.0,-6.86,6.94
5849.0,-705.25,-539.5,1.0,-701.25,-449.0,1.0,778.2857142857143,691.7142857142858,1.0,799.5,879.5,1.0,-6.86,6.94
5850.0,-703.0,-473.5,1.0,-706.0,-460.0,1.0,778.2380952380952,699.4285714285714,1.0,810.25,787.0,1.0,-6.86,6.94
5851.0,-702.0,-486.75,1.0,-705.25,-423.75,1.0,778.1904761904761,707.1428571428571,1.0,805.0,739.5,1.0,-6.86,6.92
5852.0,-696.0,-437.5,1.0,-706.0,-524.0,1.0,778.1428571428571,714.8571428571429,1.0,790.0,808.5,1.0,-6.7925,6.862500000000001
5853.0,-691.5,-513.5,1.0,-698.5,-403.0,1.0,778.0952380952381,722.5714285714286,1.0,787.0,825.25,1.0,-5.68,5.595
5854.0,-698.0,-777.0,1.0,-710.25,-574.5,1.0,778.047619047619,730.2857142857142,1.0,777.0,688.0,1.0,-3.88375,3.78875
